66,1,0.36464088397790057,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
66,2,0.36464088397790057,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
67,1,0.3701657458563536,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
67,2,0.3701657458563536,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
68,1,0.3756906077348066,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
68,2,0.3756906077348066,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
69,1,0.3812154696132597,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
69,2,0.3812154696132597,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
70,1,0.3867403314917127,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
70,2,0.3867403314917127,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
71,1,0.39226519337016574,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
71,2,0.39226519337016574,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
72,1,0.39779005524861877,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
72,2,0.39779005524861877,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
73,1,0.40331491712707185,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
73,2,0.40331491712707185,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
74,1,0.4088397790055249,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
74,2,0.4088397790055249,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
75,1,0.4143646408839779,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
75,2,0.4143646408839779,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
76,1,0.4198895027624309,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
76,2,0.4198895027624309,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
77,1,0.425414364640884,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 15(0)])
77,2,0.425414364640884,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
78,1,0.430939226519337,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
78,2,0.430939226519337,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
79,1,0.43646408839779005,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
79,2,0.43646408839779005,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
80,1,0.4419889502762431,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
80,2,0.4419889502762431,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
81,1,0.44751381215469616,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
81,2,0.44751381215469616,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
82,1,0.4530386740331492,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
82,2,0.4530386740331492,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
83,1,0.4585635359116022,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
83,2,0.4585635359116022,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
84,1,0.46408839779005523,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
84,2,0.46408839779005523,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
85,1,0.4696132596685083,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
85,2,0.4696132596685083,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
86,1,0.47513812154696133,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
86,2,0.47513812154696133,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
87,1,0.48066298342541436,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
87,2,0.48066298342541436,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
88,1,0.4861878453038674,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
88,2,0.4861878453038674,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
89,1,0.49171270718232046,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
89,2,0.49171270718232046,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
90,1,0.4972375690607735,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
90,2,0.4972375690607735,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
91,1,0.5027624309392266,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
91,2,0.5027624309392266,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
92,1,0.5082872928176796,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
92,2,0.5082872928176796,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
93,1,0.5138121546961326,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
93,2,0.5138121546961326,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
94,1,0.5193370165745856,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
94,2,0.5193370165745856,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
95,1,0.5248618784530387,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
